ROI,POI,Pitch_MAE,Yaw_MAE,HP_X_Pred,HP_Y_Pred,HP_Z_Pred,Yaw_Pred,Pitch_Pred
6_Display_Headunit,POI_16PZP,2.39,3.76,1636.6961779778662,-249.7247342901306,803.1475189788382,-16.53946828557968,-3.029961123388298
1_Display_Driver,POI_17KXP,2.49,2.09,1628.1520488108895,-325.4123628699906,805.1240549763013,-3.467014571916385,-6.314976788627369
8_Mirror_Passenger,POI_1DO2M,2.44,2.52,1662.0873471365173,-232.40005528092615,807.8036725954763,-62.367020361989496,-2.515192466425649
4_Windshield_Driver,POI_2IF8M,2.57,2.53,1631.160186619573,-250.43497544576,805.2742089592916,-31.567063971474038,11.801873362130973
9_Mirror_Rear,POI_3JI7Y,2.25,2.77,1645.945951727337,-270.11503377218526,827.2760632963424,-42.424762443784,13.9598688608539
7_Mirror_Driver,POI_3O6WU,3.62,4.55,1645.1210296942747,-381.68634874638303,813.458070155633,45.35227664865432,-3.1532479091722054
10_Display_Passenger_(HES),POI_3QWH7,2.36,2.61,1642.45122376721,-237.66603362115893,800.4518651817918,-49.37808264318941,-7.519914114030427
4_Windshield_Driver,POI_5S3JK,3.0,2.43,1641.0601871852978,-312.2699699690462,819.5802737886228,-6.965270402503738,16.57003682131796
1_Display_Driver,POI_5YHI8,2.53,1.95,1627.4124337248177,-325.2683262186829,807.1906432872945,2.31146967695469,-6.717029836396826
17_Offroad_Passenger_Exterior,POI_5YYI7,2.28,2.55,1659.4637866731268,-227.71472627099996,807.5526512398397,-69.64755036932338,1.4046521883713106
9_Mirror_Rear,POI_5Z5ZC,2.56,3.04,1648.5919841121229,-267.34158654416706,824.5718329653549,-24.359766159505426,17.092748684161727
6_Display_Headunit,POI_8YS2V,2.41,3.96,1641.153137564091,-247.496222406009,801.0747790239558,-10.751044796896561,-3.3849915181889787
1_Display_Driver,POI_8YXW6,2.18,1.97,1639.1689966285874,-328.47367675789275,808.8045950890362,8.349829035876848,-6.4212939175406065
6_Display_Headunit,POI_BA5U8,2.65,4.31,1634.6402377333225,-247.93747977112963,804.330315858061,-17.433733395657853,-7.253505777871817
10_Display_Passenger_(HES),POI_F2VU8,2.27,2.76,1639.273784457282,-237.2217272935875,800.0215168653403,-44.06388061438836,-7.335376804466135
5_Windshield_Passenger,POI_FD82J,2.1,2.48,1648.6071359427483,-251.3177571334216,811.3589085543827,-45.53621311599048,7.415596374056849
8_Mirror_Passenger,POI_HZ8S6,2.73,2.7,1660.1161578256251,-233.73320251066633,801.9910451320112,-62.38318415929123,-1.097060135825274
5_Windshield_Passenger,POI_I3E8X,2.28,2.59,1643.9773559092139,-252.51156907619287,809.7739969672135,-38.59128963402543,7.618583691983055
17_Offroad_Passenger_Exterior,POI_IZ64P,2.06,2.65,1658.5846116633281,-229.46333188050042,804.0387902940324,-69.26019111616225,-0.5389318397958553
4_Windshield_Driver,POI_KQO24,2.54,3.67,1637.2888539439089,-307.276017778698,824.9175496528709,-22.11950904870129,6.191806652822649
7_Mirror_Driver,POI_L7RQ1,3.69,4.27,1645.601595006333,-378.3070043500608,811.6090886629759,44.71511840088833,-1.8322888367176875
10_Display_Passenger_(HES),POI_N13JX,2.63,2.7,1636.242253599613,-237.5965077762639,799.4719586805946,-37.50554599770339,-7.343853081797402
15_Offroad_Driver_Exterior,POI_OSK88,3.98,4.56,1656.6700900775593,-373.3298903888086,815.1007587601649,48.48454371233666,0.6704352205873475
5_Windshield_Passenger,POI_TG92H,2.24,2.76,1642.783385383831,-250.22023661185338,812.6703684034131,-37.8502323125212,4.6453149599071
4_Windshield_Driver,POI_U4T3D,2.63,3.32,1642.7341991924363,-254.83258968626842,812.7598211723564,-24.62306229006304,6.728645664693623
17_Offroad_Passenger_Exterior,POI_WJ8P6,1.94,2.87,1666.9002244708745,-229.32477041371578,805.5582777383772,-66.55499632756786,-0.9330290554345504
10_Display_Passenger_(HES),POI_WL36K,1.74,2.62,1639.2665517571836,-233.27486948888347,796.9474442699835,-45.60478823011735,-12.552913236343349
